Instance,Terminal,Layer,X location,Y location,Voltage
_067_,VPWR,li1,23.0000,19.0400,1.799895
_066_,VPWR,li1,26.2200,13.6000,1.799926
_065_,VPWR,li1,27.3700,13.6000,1.799920
_064_,VPWR,li1,25.7600,19.0400,1.799869
_063_,VPWR,li1,29.6700,13.6000,1.799914
_062_,VPWR,li1,24.1500,19.0400,1.799869
_061_,VPWR,li1,21.3900,19.0400,1.799895
_060_,VPWR,li1,32.6600,19.0400,1.799814
_059_,VPWR,li1,33.3500,13.6000,1.799907
_058_,VPWR,li1,36.5700,24.4800,1.799924
_057_,VPWR,li1,37.9500,29.9200,1.799834
_056_,VPWR,li1,10.8100,19.0400,1.799888
_055_,VPWR,li1,37.0300,19.0400,1.799814
_054_,VPWR,li1,35.6500,13.6000,1.799902
