Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_12_Right_12,VGND,li1,42.0900,43.5200,0.000014
PHY_EDGE_ROW_11_Right_11,VGND,li1,42.0900,43.5200,0.000014
PHY_EDGE_ROW_10_Right_10,VGND,li1,42.0900,38.0800,0.000105
PHY_EDGE_ROW_9_Right_9,VGND,li1,42.0900,38.0800,0.000105
PHY_EDGE_ROW_8_Right_8,VGND,li1,42.0900,32.6400,0.000093
PHY_EDGE_ROW_7_Right_7,VGND,li1,42.0900,32.6400,0.000093
PHY_EDGE_ROW_6_Right_6,VGND,li1,42.0900,27.2000,0.000115
PHY_EDGE_ROW_5_Right_5,VGND,li1,42.0900,27.2000,0.000115
PHY_EDGE_ROW_4_Right_4,VGND,li1,42.0900,21.7600,0.000080
PHY_EDGE_ROW_3_Right_3,VGND,li1,42.0900,21.7600,0.000080
PHY_EDGE_ROW_2_Right_2,VGND,li1,42.0900,16.3200,0.000213
PHY_EDGE_ROW_1_Right_1,VGND,li1,42.0900,16.3200,0.000213
PHY_EDGE_ROW_0_Right_0,VGND,li1,42.0900,10.8800,0.000012
_115_,VGND,li1,11.5000,38.0800,0.000125
_114_,VGND,li1,23.4600,32.6400,0.000076
_113_,VGND,li1,36.8000,32.6400,0.000093
_112_,VGND,li1,36.8000,21.7600,0.000080
_111_,VGND,li1,17.0200,32.6400,0.000089
_110_,VGND,li1,11.7300,16.3200,0.000173
_109_,VGND,li1,21.1600,16.3200,0.000154
_108_,VGND,li1,36.8000,16.3200,0.000213
_107_,VGND,li1,13.8000,38.0800,0.000121
_106_,VGND,li1,11.7300,32.6400,0.000090
_105_,VGND,li1,14.9500,43.5200,0.000021
_104_,VGND,li1,10.8100,43.5200,0.000022
_103_,VGND,li1,21.1600,43.5200,0.000017
_102_,VGND,li1,21.8500,38.0800,0.000103
_101_,VGND,li1,25.0700,38.0800,0.000099
_100_,VGND,li1,32.8900,38.0800,0.000104
_099_,VGND,li1,27.3700,38.0800,0.000101
_098_,VGND,li1,25.9900,32.6400,0.000068
_097_,VGND,li1,29.4400,32.6400,0.000076
_096_,VGND,li1,28.2900,43.5200,0.000014
_095_,VGND,li1,26.2200,43.5200,0.000013
_094_,VGND,li1,23.4600,43.5200,0.000016
_093_,VGND,li1,34.7300,32.6400,0.000089
_092_,VGND,li1,36.5700,38.0800,0.000105
_091_,VGND,li1,31.0500,32.6400,0.000082
_090_,VGND,li1,29.2100,32.6400,0.000076
_089_,VGND,li1,27.1400,27.2000,0.000113
_088_,VGND,li1,30.1300,38.0800,0.000103
_087_,VGND,li1,33.3500,27.2000,0.000115
_086_,VGND,li1,35.1900,27.2000,0.000115
_085_,VGND,li1,31.5100,21.7600,0.000072
_084_,VGND,li1,29.6700,21.7600,0.000068
_083_,VGND,li1,25.0700,27.2000,0.000096
_082_,VGND,li1,27.1400,21.7600,0.000063
_081_,VGND,li1,29.9000,27.2000,0.000114
_080_,VGND,li1,21.1600,21.7600,0.000063
_079_,VGND,li1,18.8600,27.2000,0.000103
_078_,VGND,li1,11.9600,27.2000,0.000108
_077_,VGND,li1,11.0400,27.2000,0.000108
_076_,VGND,li1,12.8800,27.2000,0.000107
_075_,VGND,li1,11.5000,21.7600,0.000069
_074_,VGND,li1,20.9300,27.2000,0.000100
_073_,VGND,li1,8.5100,27.2000,0.000109
_072_,VGND,li1,14.9500,16.3200,0.000164
_071_,VGND,li1,14.4900,10.8800,0.000009
_070_,VGND,li1,16.7900,21.7600,0.000067
_069_,VGND,li1,18.6300,21.7600,0.000064
_068_,VGND,li1,8.5100,21.7600,0.000069
_067_,VGND,li1,23.0000,21.7600,0.000059
_066_,VGND,li1,26.2200,10.8800,0.000008
_065_,VGND,li1,27.3700,16.3200,0.000157
_064_,VGND,li1,25.7600,21.7600,0.000055
_063_,VGND,li1,29.6700,16.3200,0.000187
_062_,VGND,li1,24.1500,16.3200,0.000136
_061_,VGND,li1,21.3900,16.3200,0.000147
_060_,VGND,li1,32.6600,21.7600,0.000072
_059_,VGND,li1,33.3500,10.8800,0.000011
_058_,VGND,li1,36.5700,27.2000,0.000115
_057_,VGND,li1,37.9500,27.2000,0.000115
_056_,VGND,li1,10.8100,21.7600,0.000069
_055_,VGND,li1,37.0300,16.3200,0.000213
_054_,VGND,li1,35.6500,10.8800,0.000012
